Bujur,Lintang,FAA,Elevation_m,UTM_X,UTM_Y
123.2825877,0.0025864,-149.09,-3149.137,531445.064174526,10000285.878411757
123.3024482,0.0029496,-149.09,-3195.8755,533655.0695718718,10000326.02399692
123.3031543,0.0029601,-149.09,-3197.428,533733.6419274793,10000327.184600135
123.3038602,0.0029697,-149.09,-3198.9797,533812.1920329595,10000328.2457251
123.2804475,0.0025627,-149.08,-3144.3435,531206.9106054511,10000283.258765249
123.2811612,0.0025704,-149.08,-3145.94,531286.3285064889,10000284.109874329
123.3045659,0.0029784,-149.08,-3200.5198,533890.7198883233,10000329.207371788
123.3052713,0.0029863,-149.08,-3202.0505,533969.2143659205,10000330.080593346
123.279019,0.0025474,-149.07,-3141.1462,531047.9524140628,10000281.56760064
123.2797334,0.0025551,-149.07,-3142.747,531127.4481987659,10000282.418709442
123.3059766,0.0029932,-149.07,-3203.5774,534047.6977210719,10000330.843283432
123.3066817,0.0029992,-149.07,-3205.0842,534126.1588261337,10000331.506495189
123.2783044,0.0025397,-149.06,-3139.5342,530968.4343789585,10000280.716491984
123.3073866,0.0030046,-149.06,-3206.5918,534204.5976810986,10000332.103388088
123.2768745,0.0025232,-149.05,-3136.2852,530809.3204299231,10000278.892690616
123.2775895,0.0025316,-149.05,-3137.9202,530888.8829658323,10000279.821170926
123.3080915,0.0030097,-149.05,-3208.0732,534283.0365412869,10000332.66712162
123.3087962,0.0030144,-149.05,-3209.5503,534361.4531513905,10000333.186642608
123.2761593,0.0025144,-149.04,-3134.6453,530729.7356435996,10000277.91999792
123.3095008,0.0030189,-149.04,-3211.0103,534439.8586390732,10000333.68405738
123.2747284,0.0024957,-149.03,-3131.3142,530570.5104472948,10000275.853028543
123.2754439,0.0025053,-149.03,-3132.9875,530650.1286068481,10000276.914145982
123.3102055,0.0030233,-149.03,-3212.4514,534518.275259662,10000334.170419104
123.2740127,0.0024858,-149.02,-3129.6306,530490.8700372977,10000274.75875188
123.3109101,0.0030275,-149.02,-3213.8887,534596.6807578523,10000334.6346746
123.3116148,0.0030315,-149.02,-3215.2903,534675.0973889773,10000335.07682388
123.2732968,0.0024755,-149.01,-3127.9165,530411.2073768475,10000273.620262858
123.3123196,0.0030349,-149.01,-3216.6938,534753.525153064,10000335.452654252
123.2718646,0.002455,-149.0,-3124.4453,530251.8375597767,10000271.354338476
123.2725808,0.0024652,-149.0,-3126.2007,530331.5335935522,10000272.481774012
123.3130244,0.0030376,-149.0,-3218.065,534831.9529224698,10000335.75111253
123.2711483,0.0024451,-148.99,-3122.6838,530172.1304031297,10000270.260062495
123.3137292,0.0030395,-148.99,-3219.4265,534910.3806972043,10000335.96114553
123.270432,0.0024354,-148.98,-3120.8928,530092.423251224,10000269.187892951
123.3144341,0.0030405,-148.98,-3220.7703,534988.8196049533,10000336.07170006
123.2697155,0.0024258,-148.97,-3119.078,530012.6938488085,10000268.126776695
123.3151391,0.0030407,-148.97,-3222.0828,535067.2696457221,10000336.09382928
123.2689991,0.0024164,-148.96,-3117.2478,529932.9755787315,10000267.087766867
123.3158444,0.00304,-148.96,-3223.3972,535145.753074867,10000336.01648
123.2682826,0.002407,-148.95,-3115.369,529853.2461857451,10000266.048757205
123.31655,0.0030384,-148.95,-3224.6445,535224.2698924037,10000335.8396522
123.2675661,0.0023976,-148.94,-3113.489,529773.5167974568,10000265.0097477
123.3172556,0.0030361,-148.94,-3225.8936,535302.7867153387,10000335.5854522
123.2668496,0.0023882,-148.93,-3111.538,529693.787413854,10000263.970738364
