lon,lat,faa_topex
122.5917,-0.0249,-102.4
122.6083,-0.0249,-106.8
122.625,-0.0249,-110.7
122.6417,-0.0249,-113.2
122.6583,-0.0249,-114.3
122.675,-0.0249,-115.4
122.6917,-0.0249,-117.6
122.7083,-0.0249,-120
122.725,-0.0249,-121.4
122.7417,-0.0249,-121.9
122.7583,-0.0249,-122.3
122.775,-0.0249,-122.8
122.7917,-0.0249,-123.5
122.8083,-0.0249,-124.5
122.825,-0.0249,-125.9
122.8417,-0.0249,-127.8
122.8583,-0.0249,-130
122.875,-0.0249,-132.3
122.8917,-0.0249,-134.1
122.9083,-0.0249,-135.4
122.925,-0.0249,-136
122.9417,-0.0249,-137.1
122.9583,-0.0249,-139
122.975,-0.0249,-140.8
122.9917,-0.0249,-141.9
123.0083,-0.0249,-142.7
123.025,-0.0249,-144
123.0417,-0.0249,-145.8
123.0583,-0.0249,-147.8
123.075,-0.0249,-150
123.0917,-0.0249,-152.8
123.1083,-0.0249,-156.3
123.125,-0.0249,-160.4
123.1417,-0.0249,-164.2
123.1583,-0.0249,-166.8
123.175,-0.0249,-168.5
123.1917,-0.0249,-169.9
123.2083,-0.0249,-171
123.225,-0.0249,-171.6
123.2417,-0.0249,-171.6
123.2583,-0.0249,-171.5
123.275,-0.0249,-171.3
123.2917,-0.0249,-171.2
123.3083,-0.0249,-170.8
123.325,-0.0249,-169.8
123.3417,-0.0249,-169
123.3583,-0.0249,-168.8
123.375,-0.0249,-168.5
123.3917,-0.0249,-167.4
123.4083,-0.0249,-166
123.425,-0.0249,-165.1
123.4417,-0.0249,-164.6
123.4583,-0.0249,-163.9
123.475,-0.0249,-162.6
123.4917,-0.0249,-161
123.5083,-0.0249,-159.5
123.525,-0.0249,-158
123.5417,-0.0249,-155.9
123.5583,-0.0249,-153
123.575,-0.0249,-149.9
123.5917,-0.0249,-147.2
123.6083,-0.0249,-144.8
123.625,-0.0249,-142.4
123.6417,-0.0249,-140
123.6583,-0.0249,-138.1
123.675,-0.0249,-137.3
123.6917,-0.0249,-137.2
123.7083,-0.0249,-137.2
123.725,-0.0249,-136.3
123.7417,-0.0249,-134.2
123.7583,-0.0249,-131.3
123.775,-0.0249,-128.3
123.7917,-0.0249,-126.1
123.8083,-0.0249,-124.8
123.825,-0.0249,-124.2
123.8417,-0.0249,-123.7
123.8583,-0.0249,-123.1
123.875,-0.0249,-121.8
123.8917,-0.0249,-120
123.9083,-0.0249,-117.9
123.925,-0.0249,-115.9
123.9417,-0.0249,-114
123.9583,-0.0249,-112.2
123.975,-0.0249,-110.7
123.9917,-0.0249,-109.7
124.0083,-0.0249,-108.8
120.0083,-0.0416,64.5
120.025,-0.0416,64.3
120.0417,-0.0416,65.1
120.0583,-0.0416,66.8
120.075,-0.0416,68.5
120.0917,-0.0416,68.4
120.1083,-0.0416,66
120.125,-0.0416,62.4
120.1417,-0.0416,57.6
120.1583,-0.0416,51
120.175,-0.0416,42.9
120.1917,-0.0416,34.3
120.2083,-0.0416,25.6
120.225,-0.0416,17.5
120.2417,-0.0416,10.8
120.2583,-0.0416,6.6
120.275,-0.0416,5.1
120.2917,-0.0416,4.9
120.3083,-0.0416,3.7
120.325,-0.0416,0.1
120.3417,-0.0416,-4.4
120.3583,-0.0416,-7.6
120.375,-0.0416,-9
120.3917,-0.0416,-9
120.4083,-0.0416,-8.3
120.425,-0.0416,-7.1
120.4417,-0.0416,-6.3
120.4583,-0.0416,-6.3
120.475,-0.0416,-6.1
120.4917,-0.0416,-4.8
120.5083,-0.0416,-3.2
120.525,-0.0416,-2.5
120.5417,-0.0416,-2.8
120.5583,-0.0416,-3.1
120.575,-0.0416,-3.6
120.5917,-0.0416,-4.4
120.6083,-0.0416,-5.5
120.625,-0.0416,-6.7
120.6417,-0.0416,-7.6
120.6583,-0.0416,-8.1
120.675,-0.0416,-8.2
120.6917,-0.0416,-8.5
120.7083,-0.0416,-8.9
120.725,-0.0416,-9.6
120.7417,-0.0416,-10.9
120.7583,-0.0416,-13
120.775,-0.0416,-15.9
120.7917,-0.0416,-18.9
120.8083,-0.0416,-21.6
120.825,-0.0416,-23.3
120.8417,-0.0416,-24.3
120.8583,-0.0416,-24.4
120.875,-0.0416,-23.8
120.8917,-0.0416,-22.4
120.9083,-0.0416,-21.1
120.925,-0.0416,-20.3
120.9417,-0.0416,-20
